＊ 指数先物、国債先物、指数オプション、国債先物オプション、有価証券オプション、商品先物、商品先物オプション順で、商品ごとに限月順で表示しております。,,,,,,,,,,,
＊ 前取引日に取引最終日を迎えた銘柄につきましては掲載されておりません。,,,,,,,,,,,
銘柄コード,銘柄名称,PUT/CAL,限月,権利行使価格,清算価格,理論価格,原資産価格,ボラティリティ,金利,残日数,原資産名称
149017018,CAL_225_240111_27000,CAL,202401,27000,6470,6466,33464.17,40.0566,-0.0236,14,日経225
149017218,CAL_225_240111_27250,CAL,202401,27250,6220,6216,33464.17,38.4693,-0.0236,14,日経225
149017518,CAL_225_240111_27500,CAL,202401,27500,5970,5966,33464.17,36.8918,-0.0236,14,日経225
149017718,CAL_225_240111_27750,CAL,202401,27750,5720,5717,33464.17,36.0086,-0.0236,14,日経225
149018018,CAL_225_240111_28000,CAL,202401,28000,5470,5466,33464.17,34.234,-0.0236,14,日経225
149018218,CAL_225_240111_28250,CAL,202401,28250,5220,5217,33464.17,33.409,-0.0236,14,日経225
149018518,CAL_225_240111_28500,CAL,202401,28500,4975,4975,33464.17,37.3019,-0.0236,14,日経225
149018618,CAL_225_240111_28625,CAL,202401,28625,4845,4842,33464.17,31.0256,-0.0236,14,日経225
149018718,CAL_225_240111_28750,CAL,202401,28750,4725,4725,33464.17,35.5268,-0.0236,14,日経225
149018818,CAL_225_240111_28875,CAL,202401,28875,4600,4600,33464.17,34.6416,-0.0236,14,日経225
149019018,CAL_225_240111_29000,CAL,202401,29000,4475,4475,33464.17,33.7578,-0.0236,14,日経225
149019118,CAL_225_240111_29125,CAL,202401,29125,4350,4350,33464.17,32.8755,-0.0236,14,日経225
149019218,CAL_225_240111_29250,CAL,202401,29250,4225,4225,33464.17,31.9944,-0.0236,14,日経225
149019318,CAL_225_240111_29375,CAL,202401,29375,4100,4100,33464.17,31.1144,-0.0236,14,日経225
149019518,CAL_225_240111_29500,CAL,202401,29500,3975,3975,33464.17,30.2355,-0.0236,14,日経225
149019618,CAL_225_240111_29625,CAL,202401,29625,3850,3850,33464.17,29.3574,-0.0236,14,日経225
